crop,variety,plant_type,season,water_needs,sow_window,seeding_method,days_to_transplant,days_to_maturity,packet_type,planting_pattern,plants_per_linear_ft,plants_per_sq_ft,harvest_info,supplier,url,notes,yield_low,yield_high
Cauliflower,Snowball,vegetable,cool-season,high,Aug–Dec,transplant,35.0,80.0,single,1.0,0.56,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/cauliflower/organic-snowball-cauliflower-seeds/,,1.0,2.0
Cauliflower,Violet Queen,vegetable,cool-season,high,Aug–Dec,transplant,35.0,80.0,single,1.0,0.56,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/cauliflower/violet-queen-cauliflower-seeds/,,1.0,2.0
Kale,Black Magic,vegetable,cool-season,medium,Aug–Mar,transplant,30.0,60.0,single,2.0,1.0,,*shopper requested*,SDSC,https://sandiegoseedcompany.com/product/vegetables/kale/black-magic-kale-seeds/,,1.0,5.0
Beets,Golden Beet,vegetable,cool-season,medium,Sep–Feb,direct_sow,,60.0,single,4.0,3.0,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/beets/organic-golden-beet-seeds/,,0.25,0.25
Beets,Boro,vegetable,cool-season,medium,Sep–Feb,direct_sow,,60.0,single,4.0,3.0,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/beets/organic-boro-beet-seeds/,,0.25,0.25
Beets,Detroit Dark Red,vegetable,cool-season,medium,Sep–Feb,direct_sow,,60.0,single,4.0,3.0,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/beets/organic-detroit-dark-red-beet-seeds/,,0.25,0.25
Beets,Bulls Blood,vegetable,cool-season,medium,Sep–Feb,direct_sow,,60.0,single,4.0,3.0,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/beets/bulls-blood-beet-seeds/,,0.25,0.25
Beets,Boldor,vegetable,cool-season,medium,Sep–Feb,direct_sow,,60.0,single,4.0,3.0,,"organic, golden - *shopper requested*",JS,https://www.johnnyseeds.com/vegetables/beets/specialty-beets/boldor-organic-beet-seed-3121G.html,,0.25,0.25
Beets,Boro F1,vegetable,cool-season,medium,Sep–Feb,direct_sow,,60.0,single,4.0,3.0,,organic - *shopper requested*,JS,https://www.johnnyseeds.com/vegetables/beets/round-red-beets/boro-organic-f1-beet-seed-3300G.html,,0.25,0.25
Carrots,Juwarot,vegetable,cool-season,medium,Sep–Feb,direct_sow,,75.0,single,4.0,6.0,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/carrots/organic-juwarot-carrot-seeds/,,0.25,0.25
Carrots,Miami Pelleted,vegetable,cool-season,medium,Sep–Feb,direct_sow,,75.0,single,4.0,6.0,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/carrots/organic-miami-pelleted-carrot-seeds/,,0.25,0.25
Carrots,Nantes Coreless,vegetable,cool-season,medium,Sep–Feb,direct_sow,,75.0,single,4.0,6.0,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/carrots/organic-nantes-coreless-carrot-seeds/,,0.25,0.25
Carrots,Danvers,vegetable,cool-season,medium,Sep–Feb,direct_sow,,75.0,single,4.0,6.0,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/carrots/organic-danvers-carrot-seeds/,,0.25,0.25
Carrots,Bengala F1,vegetable,cool-season,medium,Sep–Feb,direct_sow,,75.0,single,4.0,6.0,,*shopper requested* - currently out of stock,JS,https://www.johnnyseeds.com/vegetables/carrots/storage-carrots/bengala-organic-f1-carrot-seed-5176G.html,,0.25,0.25
Carrots,Bolero F1,vegetable,cool-season,medium,Sep–Feb,direct_sow,,75.0,single,4.0,6.0,,*replacement for Bengala*,JS,https://www.johnnyseeds.com/vegetables/carrots/storage-carrots/bolero-f1-carrot-seed-216.html,,0.25,0.25
Radishes,French Breakfast,vegetable,cool-season,low-medium,Sep–Mar,direct_sow,,28.0,single,4.0,6.0,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/radishes/french-breakfast-radish-seeds/,,0.25,0.25
Radishes (Mixed),Confetti Mix,vegetable,cool-season,low-medium,Sep–Mar,direct_sow,,28.0,mixed,4.0,6.0,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/radishes/confetti-mix-radish-seeds/,,0.25,0.25
Arugula,Wild Arugula,vegetable,cool-season,medium,Sep–Mar,direct_sow,,30.0,single,scattered,,25.0,,SDSC,https://sandiegoseedcompany.com/product/herbs/wild-arugula-seeds/,,,
Lettuce (Single),Parris Island Cos Romaine,vegetable,cool-season,medium-high,Sep–Mar,transplant,28.0,55.0,single,2,1.0,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/greens/parris-island-cos-romaine-lettuce-seeds/,,1.0,1.0
Lettuce (Mixed),Zone 9-10 Mix,vegetable,cool-season,medium-high,Sep–Mar,direct_sow,,35.0,mixed,scattered,,20.0,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/lettuce/organic-zone-9-10-lettuce-mix/,,1.0,1.0
Lettuce (Mixed),Allstar Gourmet Mix,vegetable,cool-season,medium-high,Sep–Mar,direct_sow,,35.0,mixed,scattered,,20.0,,JS,https://www.johnnyseeds.com/vegetables/lettuce/lettuce-mixes/allstar-gourmet-lettuce-mix-vegetable-seed-2301.html,,1.0,1.0
Spinach,Corvair,vegetable,cool-season,medium,Oct–Feb,transplant,28.0,45.0,single,4,3.0,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/spinach/organic-corvair-spinach-seeds/,,0.25,1.0
Swiss Chard,Bright Lights,vegetable,cool-season,medium,Sep–Mar,transplant,28.0,60.0,single,2,1.0,,,JS,https://www.johnnyseeds.com/vegetables/swiss-chard/bright-lights-swiss-chard-seed-703D.html,,8.0,12.0
Greens Mixes,Ovation Greens Mix,vegetable,cool-season,medium,Sep–Mar,direct_sow,,35.0,mixed,scattered,,25.0,organic - *shopper requested*,JS,https://www.johnnyseeds.com/vegetables/greens/greens-mixes/ovation-greens-mix-organic-vegetable-seed-2697G.html,,,
Mustard Greens,Broadleaf Mustard Green,vegetable,cool-season,medium,Sep–Mar,direct_sow,,40.0,single,scattered,,25.0,,SDSC,https://sandiegoseedcompany.com/product/vegetables/greens/broadleaf-mustard-green-seeds/,,,
Chicory,Gourmet Blend,vegetable,cool-season,medium,Sep–Feb,direct_sow,,55.0,mixed,scattered,,16.0,,SDSC,https://sandiegoseedcompany.com/product/vegetables/greens/gourmet-blend-chicory-seeds/,,,
Celery,Golden Pascal,vegetable,cool-season,high,Aug–Oct,transplant,80.0,120.0,single,3,1.0,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/celery/organic-golden-pascal-celery-seeds/,,0.5,0.5
Celery,Tango,vegetable,cool-season,high,Aug–Oct,transplant,80.0,120.0,single,3,1.0,,organic - *shopper requested*,JS,https://www.johnnyseeds.com/vegetables/celery-and-celeriac/celery/tango-organic-celery-seed-647G.html,,0.5,0.5
Fennel,Finale,vegetable,cool-season,medium,Sep–Feb,direct_sow,,90.0,single,2,0.67,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/fennel/organic-finale-fennel-seeds/,,,
Onions (bulbing types vary by daylength),Red Rock Bulbing,vegetable,cool-season,medium,Sep–Jan,direct_sow,,120.0,single,4,4.0,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/onions/red-rock-bulbing-onion-seeds/,,,
Onions (bulbing types vary by daylength),Maragogi F1,vegetable,cool-season,medium,Sep–Jan,direct_sow,,120.0,single,4,4.0,,,JS,https://www.johnnyseeds.com/vegetables/onions/full-size-onions/maragogi-f1-onion-seed-5230.html,,,
Tomatoes,Bo Mango,vegetable,warm-season,medium-high,,transplant,50.0,80.0,single,1,0.5,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-bo-mango-tomato-seeds/,,5.0,15.0
Tomatoes,Dwarf Rosella Purple,vegetable,warm-season,medium-high,,transplant,50.0,80.0,single,1,0.5,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/tomatoes/dwarf-tomato-rosella-purple-seeds/,,5.0,15.0
Tomatoes,Dwarf Wilpena,vegetable,warm-season,medium-high,,transplant,50.0,80.0,single,1,0.5,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-dwarf-wilpena-tomato-seeds/,,5.0,15.0
Tomatoes,Rainbow Cherry,vegetable,warm-season,medium-high,,transplant,50.0,80.0,single,1,0.5,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/tomatoes/rainbow-cherry-tomato-seeds/,,5.0,15.0
Tomatoes,Jolene F1,vegetable,warm-season,medium-high,,transplant,50.0,80.0,single,1,0.5,,beefsteak,JS,https://www.johnnyseeds.com/vegetables/tomatoes/beefsteak-tomatoes/jolene-f1-tomato-seed-4778.html,,5.0,15.0
Tomatoes,Verona F1,vegetable,warm-season,medium-high,,transplant,50.0,80.0,single,1,0.5,,"organic, paste",JS,https://www.johnnyseeds.com/vegetables/tomatoes/paste-tomatoes/verona-organic-f1-tomato-seed-3811G.html,,5.0,15.0
Peppers (Sweet),Italian Pepperoncini,vegetable,warm-season,medium,,transplant,60.0,90.0,single,1,0.67,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/peppers/italian-pepperoncini-pepper-seeds/,,1.0,5.0
Peppers (Sweet),Yolo,vegetable,warm-season,medium,,transplant,60.0,90.0,single,1,0.67,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/peppers/yolo-pepper-seeds/,,1.0,5.0
Peppers (Sweet),Sweet Banana,vegetable,warm-season,medium,,transplant,60.0,90.0,single,1,0.67,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/peppers/sweet-banana-pepper-seeds/,,1.0,5.0
Peppers (Sweet),Orange Wonder Sweet Bell,vegetable,warm-season,medium,,transplant,60.0,90.0,single,1,0.67,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/peppers/organic-orange-wonder-sweet-bell-pepper-seeds/,,1.0,5.0
Peppers (Sweet),Jimmy Nardello Sweet,vegetable,warm-season,medium,,transplant,60.0,90.0,single,1,0.67,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/peppers/organic-jimmy-nardello-sweet-pepper-seeds/,,1.0,5.0
Peppers (Sweet),Huntington F1 Bell,vegetable,warm-season,medium,,transplant,60.0,90.0,single,1,0.67,,,JS,https://www.johnnyseeds.com/vegetables/peppers/sweet-bell-peppers/huntington-f1-bell-pepper-seed-5262.html,,1.0,5.0
Peppers (Hot),Jalapeno,vegetable,warm-season,medium,,transplant,60.0,90.0,single,1,0.67,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/peppers/organic-jalapeno-pepper-seeds/,,1.0,5.0
Peppers (Hot),Poblano,vegetable,warm-season,medium,,transplant,60.0,90.0,single,1,0.67,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/peppers/organic-poblano-pepper-seeds/,,1.0,5.0
Peppers (Hot),Flaming Flare F1 Fresno,vegetable,warm-season,medium,,transplant,60.0,90.0,single,1,0.67,,,JS,https://www.johnnyseeds.com/vegetables/peppers/hot-peppers/flaming-flare-f1-fresno-pepper-seed-3270.html,,1.0,5.0
Peppers (Hot),Sargento F1 Poblano,vegetable,warm-season,medium,,transplant,60.0,90.0,single,1,0.67,,,JS,https://www.johnnyseeds.com/vegetables/peppers/hot-peppers/sargento-f1-poblano-pepper-seed-4752.html,,1.0,5.0
Eggplant,Turkish Delight F1,vegetable,warm-season,medium-high,,transplant,60.0,85.0,single,1,0.5,,"organic, Asian - *shopper requested*",JS,https://www.johnnyseeds.com/vegetables/eggplant/asian-eggplants/turkish-delight-organic-f1-eggplant-seed-4755G.html,,,
Cucumbers,Marketmore 76,vegetable,warm-season,high,Mar–Aug,direct_sow,,55.0,single,1,0.5,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/cucumbers/organic-marketmore-76-cucumber-seeds/,,3.0,5.0
Cucumbers,Carosello Leccese,vegetable,warm-season,high,Mar–Aug,direct_sow,,55.0,single,1,0.5,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/cucumbers/carosello-leccese-cucumber-seeds/,,3.0,5.0
Cucumbers,The General F1,vegetable,warm-season,high,Mar–Aug,direct_sow,,55.0,single,1,0.5,,,JS,https://www.johnnyseeds.com/vegetables/cucumbers/slicing-cucumbers/the-general-f1-cucumber-seed-2417.html,,3.0,5.0
Summer Squash / Zucchini,Golden Zucchini,vegetable,warm-season,medium-high,Mar–Aug,direct_sow,,50.0,single,1,0.33,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/squash/organic-golden-zucchini-summer-squash-seeds/,,5.0,20.0
Summer Squash / Zucchini,Prolific Yellow Straightneck,vegetable,warm-season,medium-high,Mar–Aug,direct_sow,,50.0,single,1,0.33,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/squash/organic-prolific-yellow-straightneck-summer-squash-seeds/,,5.0,20.0
Summer Squash / Zucchini,Dark Star Zucchini,vegetable,warm-season,medium-high,Mar–Aug,direct_sow,,50.0,single,1,0.33,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/squash/organic-dark-star-zucchini-seeds/,,5.0,20.0
Summer Squash / Zucchini,Yellow Crookneck,vegetable,warm-season,medium-high,Mar–Aug,direct_sow,,50.0,single,1,0.33,,organic,JS,https://www.johnnyseeds.com/vegetables/squash/summer-squash/yellow-crookneck-organic-yellow-summer-squash-seed-2450.html,,5.0,20.0
Summer Squash / Zucchini,Spineless Perfection F1 Zucchini,vegetable,warm-season,medium-high,Mar–Aug,direct_sow,,50.0,single,1,0.33,,,JS,https://www.johnnyseeds.com/vegetables/squash/summer-squash/spineless-perfection-f1-zucchini-squash-seed-3854.html,,5.0,20.0
Summer Squash / Zucchini,Golden Glory F1 Zucchini,vegetable,warm-season,medium-high,Mar–Aug,direct_sow,,50.0,single,1,0.33,,,JS,https://www.johnnyseeds.com/vegetables/squash/summer-squash/golden-glory-f1-zucchini-squash-seed-3837.html,,5.0,20.0
Winter Squash,Waltham Butternut,vegetable,warm-season,medium,Apr–Jun,direct_sow,,100.0,single,1,0.17,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/squash/waltham-butternut-squash-seeds/,,10.0,20.0
Winter Squash,Mambo F1 Kabocha,vegetable,warm-season,medium,Apr–Jun,direct_sow,,100.0,single,1,0.17,,organic,JS,https://www.johnnyseeds.com/vegetables/squash/winter-squash/mambo-organic-f1-kabocha-squash-seed-4304G.html,,10.0,20.0
Winter Squash,Honey Bear F1 Acorn,vegetable,warm-season,medium,Apr–Jun,direct_sow,,100.0,single,1,0.17,,,JS,https://www.johnnyseeds.com/vegetables/squash/winter-squash/honey-bear-f1-acorn-squash-seed-689.html,,10.0,20.0
Winter Squash,Block Party F1 Butternut,vegetable,warm-season,medium,Apr–Jun,direct_sow,,100.0,single,1,0.17,,organic,JS,https://www.johnnyseeds.com/vegetables/squash/winter-squash/block-party-organic-f1-butternut-squash-seed-4307G.html,,10.0,20.0
Melons,Early Girl Watermelon,vegetable,warm-season,medium,Apr–Jun,direct_sow,,90.0,single,1,0.17,,,SDSC,https://sandiegoseedcompany.com/product/fruit/melons/watermelon/early-girl-watermelon-seeds/,,,
Melons,Sugar Baby Watermelon,vegetable,warm-season,medium,Apr–Jun,direct_sow,,90.0,single,1,0.17,,organic,SDSC,https://sandiegoseedcompany.com/product/fruit/melons/watermelon/organic-sugar-baby-watermelon-seeds/,,,
Melons,Golden Delicious Cantaloupe,vegetable,warm-season,medium,Apr–Jun,direct_sow,,90.0,single,1,0.17,,,SDSC,https://sandiegoseedcompany.com/product/fruit/melons/golden-delicious-cantaloupe-seeds/,,,
Melons,Saniara F1 Watermelon,vegetable,warm-season,medium,Apr–Jun,direct_sow,,90.0,single,1,0.17,,seedless,JS,https://www.johnnyseeds.com/vegetables/watermelons/triploid-watermelons-seedless/saniara-f1-watermelon-seed-5206.html,,,
Sweet Potatoes (Slips),Mahon Yam,vegetable,warm-season,medium,,slips,,120.0,single,1,0.5,,"organic, slips",JS,https://www.johnnyseeds.com/vegetables/sweet-potatoes/mahon-yam-organic-sweet-potato-slips-3200G.html,,2.0,3.0
Beans (Bush),Calypso Bush,vegetable,warm-season,medium,Apr–Aug,direct_sow,,55.0,single,2,3.0,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/beans/calypso-bush-bean-seeds/,,0.5,1.0
Beans (Bush Mixed),So Cal Flavor Trio Bush,vegetable,warm-season,medium,Apr–Aug,direct_sow,,55.0,single,2,3.0,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/beans/so-cal-flavor-trio-bush-bean-seeds/,,0.5,1.0
Beans (Pole),Blue Lake Pole,vegetable,warm-season,medium,Apr–Aug,direct_sow,,65.0,single,1,2.0,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/beans/blue-lake-pole-bean-seeds/,,0.5,1.0
Beans (Pole),Golden Pole,vegetable,warm-season,medium,Apr–Aug,direct_sow,,65.0,single,1,2.0,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/beans/golden-pole-bean-seeds/,,0.5,1.0
Fava Beans,Fava Bean,vegetable,cool-season,medium,Oct–Dec,direct_sow,,100.0,single,2,1.0,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/beans/organic-fava-bean-seeds/,,,
Amaranth,Orange Amaranth,vegetable,warm-season,low,Apr–Aug,direct_sow,,55.0,single,scattered,,16.0,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/amaranth/organic-orange-amaranth-seeds/,,,
Cilantro/Coriander,Leisure,herb,cool-season,medium,Sep–Mar,direct_sow,,,single,,,,organic,SDSC,https://sandiegoseedcompany.com/product/herbs/cilantro/organic-leisure-cilantro-seeds/,,1.0,1.0
Cilantro/Coriander,Calypso,herb,cool-season,medium,Sep–Mar,direct_sow,,,single,,,,,JS,https://www.johnnyseeds.com/herbs/cilantro-coriander/calypso-cilantro-coriander-seed-3803.html,,1.0,1.0
Parsley,Flat Leaf Italian,herb,cool-season,medium,Sep–Feb,direct_sow,,,single,,,,,SDSC,https://sandiegoseedcompany.com/product/herbs/flat-leaf-italian-parsley-seeds/,,,
Dill,Bouquet,herb,cool-season,medium,Sep–Feb,direct_sow,,,single,,,,organic,SDSC,https://sandiegoseedcompany.com/product/herbs/organic-bouquet-dill-seeds/,,,
Basil (Italian),Genovese,herb,warm-season,medium-high,Apr–Aug,transplant,,,single,,,,organic,SDSC,https://sandiegoseedcompany.com/product/herbs/basil/organic-genovese-basil-seeds/,,1.0,1.0
Basil (Italian),Prospera Italian Large Leaf DMR F1,herb,warm-season,medium-high,Apr–Aug,transplant,,,single,,,,organic,JS,https://www.johnnyseeds.com/herbs/basil/italian-large-leaf-basil/prospera-italian-large-leaf-dmr-ill2-organic-f1-basil-seed-4589G.html,,1.0,1.0
Basil (Asian),Sweet Thai,herb,warm-season,medium-high,Apr–Aug,transplant,,,single,,,,,JS,https://www.johnnyseeds.com/herbs/basil/asian-basil/sweet-thai-basil-seed-945.html,,1.0,1.0
Basil (Asian),Thai Thai Prospera Active DMR,herb,warm-season,medium-high,Apr–Aug,transplant,,,single,,,,organic,JS,https://www.johnnyseeds.com/herbs/basil/asian-basil/thai-thai-prospera-active-dmr-organic-basil-seed-4968G.html,,1.0,1.0
Basil (Asian),Everleaf Thai Towers,herb,warm-season,medium-high,Apr–Aug,transplant,,,single,,,,,JS,https://www.johnnyseeds.com/herbs/basil/asian-basil/everleaf-thai-towers-basil-seed-4308.html,,1.0,1.0
Holy Basil (Tulsi),Holy Basil Kapoor Tulsi,herb,warm-season,medium,Apr–Aug,transplant,,,single,,,,organic,SDSC,https://sandiegoseedcompany.com/product/herbs/basil/organic-holy-basil-kapoor-tulsi-seeds/,,1.0,1.0
Lavender,Lavender - English,herb,perennial,low,,perennial,,,single,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/english-lavender-seeds/,,,
Lavender,Lavender - Ellagance Purple,herb,perennial,low,,perennial,,,single,,,,,JS,https://www.johnnyseeds.com/herbs/lavender/ellagance-purple-lavender-seed-72.html,,,
Marjoram,Marjoram,herb,perennial,low,,perennial,,,single,,,,organic,SDSC,https://sandiegoseedcompany.com/product/herbs/organic-marjoram-seeds/,,,
Mexican Tarragon,Mexican Tarragon,herb,perennial,low,,perennial,,,single,,,,,SDSC,https://sandiegoseedcompany.com/product/herbs/mexican-tarragon-seeds/,,,
Oregano,Oregano,herb,perennial,low,,perennial,,,single,,,,,SDSC,https://sandiegoseedcompany.com/product/herbs/oregano-seeds/,,,
Rosemary,Rosemary - Primed,herb,perennial,low,,perennial,,,single,,,,,JS,https://www.johnnyseeds.com/herbs/rosemary/primed-rosemary-herb-seed-932E.html,,,
Sage,Sage - Broad Leaf,herb,perennial,low,,perennial,,,single,,,,,SDSC,https://sandiegoseedcompany.com/product/herbs/broad-leaf-sage-seeds/,,,
Thyme,Thyme - Summer,herb,perennial,low,,perennial,,,single,,,,,JS,https://www.johnnyseeds.com/herbs/thyme/summer-thyme-seed-2250.html,,,
Lemon Balm,Lemon Balm,herb,perennial,medium,,perennial,,,single,,,,organic,SDSC,https://sandiegoseedcompany.com/product/herbs/organic-lemon-balm-seeds/,,,
Shiso,Shiso - Bicolor,herb,perennial,medium,,perennial,,,single,,,,,SDSC,https://sandiegoseedcompany.com/product/herbs/bicolor-shisho-seeds/,,,
Shiso,Shiso - Red,herb,perennial,medium,,perennial,,,single,,,,,JS,https://www.johnnyseeds.com/herbs/shiso/red-shiso-herb-seed-937.html,,,
Chives,Chinese Leeks/Garlic Chives,herb,perennial,medium,,perennial,,,single,,,,,JS,https://www.johnnyseeds.com/herbs/chives/chinese-leeks-garlic-chives/chinese-leeks-garlic-chives-herb-seed-3299.html,,,
Chives,Purly Chive,herb,perennial,medium,,perennial,,,single,,,,,JS,https://www.johnnyseeds.com/herbs/chives/standard-chives/purly-chive-seed-793.html,,,
Lovage,Lovage,herb,perennial,medium,,perennial,,,single,,,,organic,JS,https://www.johnnyseeds.com/herbs/lovage/lovage-organic-herb-seed-927G.html,,,
Stevia,Stevia,herb,perennial,medium,,perennial,,,single,,,,organic,JS,https://www.johnnyseeds.com/herbs/stevia/stevia-organic-herb-seed-2305G.html,,,
Chamomile,Chamomile - Common,herb,perennial,medium,,perennial,,,single,,,,,JS,https://www.johnnyseeds.com/herbs/chamomile/common-chamomile-herb-seed-914.html,,,
Echinacea,Echinacea Purpurea,herb,perennial,medium,,perennial,,,single,,,,organic,JS,https://www.johnnyseeds.com/herbs/echinacea-coneflower/echinacea-purpurea-organic-echinacea-seed-956.html,,,
Angelica,Angelica,herb,perennial,medium,,perennial,,,single,,,,,JS,https://www.johnnyseeds.com/herbs/angelica/angelica-herb-seed-4550.html,,,
Caraway,Caraway - Arterner,herb,perennial,medium,,perennial,,,single,,,,,JS,https://www.johnnyseeds.com/herbs/caraway/arterner-caraway-seed-796.html,,,
Cumin,Cumin,herb,perennial,medium,,perennial,,,single,,,,,JS,https://www.johnnyseeds.com/herbs/herbs-for-salad-mix/cumin-herb-seed-2931.html,,,
Rue,Rue,herb,perennial,medium,,perennial,,,single,,,,,JS,https://www.johnnyseeds.com/herbs/rue/rue-herb-seed-974.html,,,
Mexican Mint Marigold,Mexican Mint Marigold,herb,perennial,medium,,perennial,,,single,,,,,JS,https://www.johnnyseeds.com/herbs/mexican-mint-marigold/mexican-mint-marigold-herb-seed-2273.html,,,
Poppies,California Yellow Poppy,flower,cool-season,low-medium,Sep–Jan,direct_sow,,,single,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/california-yellow-poppy-seeds/,,,
Poppies,Shirley Mix Poppy,flower,cool-season,low-medium,Sep–Jan,direct_sow,,,mixed,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/shirley-mix-poppy-seeds/,,,
Poppies (Mixed),California Formula Mix Poppy,flower,cool-season,low-medium,Sep–Jan,direct_sow,,,mixed,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/california-formula-mix-poppy-seeds/,,,
Other Cool Season Annuals,Bachelor Button,flower,cool-season,low-medium,Sep–Jan,direct_sow,,,single,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/bachelor-button-seeds/,,,
Other Cool Season Annuals,Larkspur - QIS Beeworthy Mix,flower,cool-season,low-medium,Sep–Jan,direct_sow,,,mixed,,,,organic,SDSC,https://sandiegoseedcompany.com/product/flowers/organic-qis-beeworthy-mix-larkspur/,,,
Other Cool Season Annuals,Nigella - Miss Jekyll,flower,cool-season,low-medium,Sep–Jan,direct_sow,,,single,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/miss-jekyll-nigella-seeds/,,,
Other Cool Season Annuals,Heirloom Sweet Pea Mix,flower,cool-season,low-medium,Sep–Jan,direct_sow,,,mixed,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/heirloom-sweet-pea-seed-mix/,,,
