variety,crop,plant_type,season,sow_window,seeding_method,start,plant_out,days_to_transplant,days_to_maturity,packet_type,water_needs,planting_pattern,plants_per_linear_ft,yield_per_plant,harvest_info,supplier,url,notes,yield_low,yield_high
Boro F1,Beets,vegetable,cool-season,Sep–Feb,direct_sow,,,,,single,medium,,,,organic - *shopper requested*,JS,https://www.johnnyseeds.com/vegetables/beets/round-red-beets/boro-organic-f1-beet-seed-3300G.html,,0.25,0.25
Juwarot,Carrots,vegetable,cool-season,Sep–Feb,direct_sow,,,,,single,medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/carrots/organic-juwarot-carrot-seeds/,,0.25,0.25
Miami Pelleted,Carrots,vegetable,cool-season,Sep–Feb,direct_sow,,,,,single,medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/carrots/organic-miami-pelleted-carrot-seeds/,,0.25,0.25
Nantes Coreless,Carrots,vegetable,cool-season,Sep–Feb,direct_sow,,,,,single,medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/carrots/organic-nantes-coreless-carrot-seeds/,,0.25,0.25
Danvers,Carrots,vegetable,cool-season,Sep–Feb,direct_sow,,,,,single,medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/carrots/organic-danvers-carrot-seeds/,,0.25,0.25
Bengala F1,Carrots,vegetable,cool-season,Sep–Feb,direct_sow,,,,,single,medium,,,,*shopper requested* - currently out of stock,JS,https://www.johnnyseeds.com/vegetables/carrots/storage-carrots/bengala-organic-f1-carrot-seed-5176G.html,,0.25,0.25
Bolero F1,Carrots,vegetable,cool-season,Sep–Feb,direct_sow,,,,,single,medium,,,,*replacement for Bengala*,JS,https://www.johnnyseeds.com/vegetables/carrots/storage-carrots/bolero-f1-carrot-seed-216.html,,0.25,0.25
French Breakfast,Radishes,vegetable,cool-season,Sep–Mar,direct_sow,,,,,single,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/radishes/french-breakfast-radish-seeds/,,0.25,0.25
Confetti Mix,Radishes (Mixed),vegetable,cool-season,Sep–Mar,direct_sow,,,,,mixed,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/radishes/confetti-mix-radish-seeds/,,0.25,0.25
Wild Arugula,Arugula,vegetable,cool-season,Sep–Mar,direct_sow,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/herbs/wild-arugula-seeds/,,,
Parris Island Cos Romaine,Lettuce (Single),vegetable,cool-season,Sep–Mar,transplant,,,,,single,medium-high,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/greens/parris-island-cos-romaine-lettuce-seeds/,,1.0,1.0
Zone 9-10 Mix,Lettuce (Mixed),vegetable,cool-season,Sep–Mar,transplant,,,,,mixed,medium-high,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/lettuce/organic-zone-9-10-lettuce-mix/,,1.0,1.0
Allstar Gourmet Mix,Lettuce (Mixed),vegetable,cool-season,Sep–Mar,transplant,,,,,mixed,medium-high,,,,,JS,https://www.johnnyseeds.com/vegetables/lettuce/lettuce-mixes/allstar-gourmet-lettuce-mix-vegetable-seed-2301.html,,1.0,1.0
Corvair,Spinach,vegetable,cool-season,Oct–Feb,transplant,,,,,single,medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/spinach/organic-corvair-spinach-seeds/,,0.25,1.0
Bright Lights,Swiss Chard,vegetable,cool-season,Sep–Mar,transplant,,,,,single,medium,,,,,JS,https://www.johnnyseeds.com/vegetables/swiss-chard/bright-lights-swiss-chard-seed-703D.html,,8.0,12.0
Ovation Greens Mix,Greens Mixes,vegetable,cool-season,Sep–Mar,direct_sow,,,,,mixed,medium,,,,organic - *shopper requested*,JS,https://www.johnnyseeds.com/vegetables/greens/greens-mixes/ovation-greens-mix-organic-vegetable-seed-2697G.html,,,
Broadleaf Mustard Green,Mustard Greens,vegetable,cool-season,Sep–Mar,direct_sow,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/greens/broadleaf-mustard-green-seeds/,,,
Gourmet Blend,Chicory,vegetable,cool-season,Sep–Feb,direct_sow,,,,,mixed,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/greens/gourmet-blend-chicory-seeds/,,,
Golden Pascal,Celery,vegetable,cool-season,Aug–Oct,transplant,,,,,single,high,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/celery/organic-golden-pascal-celery-seeds/,,0.5,0.5
Tango,Celery,vegetable,cool-season,Aug–Oct,transplant,,,,,single,high,,,,organic - *shopper requested*,JS,https://www.johnnyseeds.com/vegetables/celery-and-celeriac/celery/tango-organic-celery-seed-647G.html,,0.5,0.5
Finale,Fennel,vegetable,cool-season,Sep–Feb,direct_sow,,,,,single,medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/fennel/organic-finale-fennel-seeds/,,,
Red Rock Bulbing,Onions (bulbing types vary by daylength),vegetable,cool-season,Sep–Jan,direct_sow,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/onions/red-rock-bulbing-onion-seeds/,,,
Maragogi F1,Onions (bulbing types vary by daylength),vegetable,cool-season,Sep–Jan,direct_sow,,,,,single,medium,,,,,JS,https://www.johnnyseeds.com/vegetables/onions/full-size-onions/maragogi-f1-onion-seed-5230.html,,,
Bo Mango,Tomatoes,vegetable,warm-season,,transplant,Jan–Mar,Mar–Jun,,,single,medium-high,,,organic,,SDSC,https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-bo-mango-tomato-seeds/,,5.0,15.0
Dwarf Rosella Purple,Tomatoes,vegetable,warm-season,,transplant,Jan–Mar,Mar–Jun,,,single,medium-high,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/tomatoes/dwarf-tomato-rosella-purple-seeds/,,5.0,15.0
Dwarf Wilpena,Tomatoes,vegetable,warm-season,,transplant,Jan–Mar,Mar–Jun,,,single,medium-high,,,organic,,SDSC,https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-dwarf-wilpena-tomato-seeds/,,5.0,15.0
Rainbow Cherry,Tomatoes,vegetable,warm-season,,transplant,Jan–Mar,Mar–Jun,,,single,medium-high,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/tomatoes/rainbow-cherry-tomato-seeds/,,5.0,15.0
Jolene F1,Tomatoes,vegetable,warm-season,,transplant,Jan–Mar,Mar–Jun,,,single,medium-high,,,beefsteak,,JS,https://www.johnnyseeds.com/vegetables/tomatoes/beefsteak-tomatoes/jolene-f1-tomato-seed-4778.html,,5.0,15.0
Verona F1,Tomatoes,vegetable,warm-season,,transplant,Jan–Mar,Mar–Jun,,,single,medium-high,,,"organic, paste",,JS,https://www.johnnyseeds.com/vegetables/tomatoes/paste-tomatoes/verona-organic-f1-tomato-seed-3811G.html,,5.0,15.0
Italian Pepperoncini,Peppers (Sweet),vegetable,warm-season,,transplant,Jan–Mar,Apr–Jun,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/peppers/italian-pepperoncini-pepper-seeds/,,1.0,5.0
Yolo,Peppers (Sweet),vegetable,warm-season,,transplant,Jan–Mar,Apr–Jun,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/peppers/yolo-pepper-seeds/,,1.0,5.0
Sweet Banana,Peppers (Sweet),vegetable,warm-season,,transplant,Jan–Mar,Apr–Jun,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/peppers/sweet-banana-pepper-seeds/,,1.0,5.0
Orange Wonder Sweet Bell,Peppers (Sweet),vegetable,warm-season,,transplant,Jan–Mar,Apr–Jun,,,single,medium,,,organic,,SDSC,https://sandiegoseedcompany.com/product/vegetables/peppers/organic-orange-wonder-sweet-bell-pepper-seeds/,,1.0,5.0
Jimmy Nardello Sweet,Peppers (Sweet),vegetable,warm-season,,transplant,Jan–Mar,Apr–Jun,,,single,medium,,,organic,,SDSC,https://sandiegoseedcompany.com/product/vegetables/peppers/organic-jimmy-nardello-sweet-pepper-seeds/,,1.0,5.0
Huntington F1 Bell,Peppers (Sweet),vegetable,warm-season,,transplant,Jan–Mar,Apr–Jun,,,single,medium,,,,,JS,https://www.johnnyseeds.com/vegetables/peppers/sweet-bell-peppers/huntington-f1-bell-pepper-seed-5262.html,,1.0,5.0
Jalapeno,Peppers (Hot),vegetable,warm-season,,transplant,Jan–Mar,Apr–Jun,,,single,medium,,,organic,,SDSC,https://sandiegoseedcompany.com/product/vegetables/peppers/organic-jalapeno-pepper-seeds/,,1.0,5.0
Poblano,Peppers (Hot),vegetable,warm-season,,transplant,Jan–Mar,Apr–Jun,,,single,medium,,,organic,,SDSC,https://sandiegoseedcompany.com/product/vegetables/peppers/organic-poblano-pepper-seeds/,,1.0,5.0
Flaming Flare F1 Fresno,Peppers (Hot),vegetable,warm-season,,transplant,Jan–Mar,Apr–Jun,,,single,medium,,,,,JS,https://www.johnnyseeds.com/vegetables/peppers/hot-peppers/flaming-flare-f1-fresno-pepper-seed-3270.html,,1.0,5.0
Sargento F1 Poblano,Peppers (Hot),vegetable,warm-season,,transplant,Jan–Mar,Apr–Jun,,,single,medium,,,,,JS,https://www.johnnyseeds.com/vegetables/peppers/hot-peppers/sargento-f1-poblano-pepper-seed-4752.html,,1.0,5.0
Turkish Delight F1,Eggplant,vegetable,warm-season,,transplant,Jan–Mar,Apr–Jun,,,single,medium-high,,,"organic, Asian - *shopper requested*",,JS,https://www.johnnyseeds.com/vegetables/eggplant/asian-eggplants/turkish-delight-organic-f1-eggplant-seed-4755G.html,,,
Marketmore 76,Cucumbers,vegetable,warm-season,Mar–Aug,direct_sow,,,,,single,high,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/cucumbers/organic-marketmore-76-cucumber-seeds/,,3.0,5.0
Carosello Leccese,Cucumbers,vegetable,warm-season,Mar–Aug,direct_sow,,,,,single,high,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/cucumbers/carosello-leccese-cucumber-seeds/,,3.0,5.0
The General F1,Cucumbers,vegetable,warm-season,Mar–Aug,direct_sow,,,,,single,high,,,,,JS,https://www.johnnyseeds.com/vegetables/cucumbers/slicing-cucumbers/the-general-f1-cucumber-seed-2417.html,,3.0,5.0
Golden Zucchini,Summer Squash / Zucchini,vegetable,warm-season,Mar–Aug,direct_sow,,,,,single,medium-high,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/squash/organic-golden-zucchini-summer-squash-seeds/,,5.0,20.0
Prolific Yellow Straightneck,Summer Squash / Zucchini,vegetable,warm-season,Mar–Aug,direct_sow,,,,,single,medium-high,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/squash/organic-prolific-yellow-straightneck-summer-squash-seeds/,,5.0,20.0
Dark Star Zucchini,Summer Squash / Zucchini,vegetable,warm-season,Mar–Aug,direct_sow,,,,,single,medium-high,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/squash/organic-dark-star-zucchini-seeds/,,5.0,20.0
Yellow Crookneck,Summer Squash / Zucchini,vegetable,warm-season,Mar–Aug,direct_sow,,,,,single,medium-high,,,,organic,JS,https://www.johnnyseeds.com/vegetables/squash/summer-squash/yellow-crookneck-organic-yellow-summer-squash-seed-2450.html,,5.0,20.0
Spineless Perfection F1 Zucchini,Summer Squash / Zucchini,vegetable,warm-season,Mar–Aug,direct_sow,,,,,single,medium-high,,,,,JS,https://www.johnnyseeds.com/vegetables/squash/summer-squash/spineless-perfection-f1-zucchini-squash-seed-3854.html,,5.0,20.0
Golden Glory F1 Zucchini,Summer Squash / Zucchini,vegetable,warm-season,Mar–Aug,direct_sow,,,,,single,medium-high,,,,,JS,https://www.johnnyseeds.com/vegetables/squash/summer-squash/golden-glory-f1-zucchini-squash-seed-3837.html,,5.0,20.0
Waltham Butternut,Winter Squash,vegetable,warm-season,Apr–Jun,direct_sow,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/squash/waltham-butternut-squash-seeds/,,10.0,20.0
Mambo F1 Kabocha,Winter Squash,vegetable,warm-season,Apr–Jun,direct_sow,,,,,single,medium,,,,organic,JS,https://www.johnnyseeds.com/vegetables/squash/winter-squash/mambo-organic-f1-kabocha-squash-seed-4304G.html,,10.0,20.0
Honey Bear F1 Acorn,Winter Squash,vegetable,warm-season,Apr–Jun,direct_sow,,,,,single,medium,,,,,JS,https://www.johnnyseeds.com/vegetables/squash/winter-squash/honey-bear-f1-acorn-squash-seed-689.html,,10.0,20.0
Block Party F1 Butternut,Winter Squash,vegetable,warm-season,Apr–Jun,direct_sow,,,,,single,medium,,,,organic,JS,https://www.johnnyseeds.com/vegetables/squash/winter-squash/block-party-organic-f1-butternut-squash-seed-4307G.html,,10.0,20.0
Early Girl Watermelon,Melons,vegetable,warm-season,Apr–Jun,direct_sow,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/fruit/melons/watermelon/early-girl-watermelon-seeds/,,,
Sugar Baby Watermelon,Melons,vegetable,warm-season,Apr–Jun,direct_sow,,,,,single,medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/fruit/melons/watermelon/organic-sugar-baby-watermelon-seeds/,,,
Golden Delicious Cantaloupe,Melons,vegetable,warm-season,Apr–Jun,direct_sow,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/fruit/melons/golden-delicious-cantaloupe-seeds/,,,
Saniara F1 Watermelon,Melons,vegetable,warm-season,Apr–Jun,direct_sow,,,,,single,medium,,,,seedless,JS,https://www.johnnyseeds.com/vegetables/watermelons/triploid-watermelons-seedless/saniara-f1-watermelon-seed-5206.html,,,
Mahon Yam,Sweet Potatoes (Slips),vegetable,warm-season,,slips,Apr–Jun,Apr–Jun,,,single,medium,,,"organic, slips",,JS,https://www.johnnyseeds.com/vegetables/sweet-potatoes/mahon-yam-organic-sweet-potato-slips-3200G.html,,2.0,3.0
Calypso Bush,Beans (Bush),vegetable,warm-season,Apr–Aug,direct_sow,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/beans/calypso-bush-bean-seeds/,,0.5,1.0
So Cal Flavor Trio Bush,Beans (Bush Mixed),vegetable,warm-season,Apr–Aug,direct_sow,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/beans/so-cal-flavor-trio-bush-bean-seeds/,,0.5,1.0
Blue Lake Pole,Beans (Pole),vegetable,warm-season,Apr–Aug,direct_sow,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/beans/blue-lake-pole-bean-seeds/,,0.5,1.0
Golden Pole,Beans (Pole),vegetable,warm-season,Apr–Aug,direct_sow,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/beans/golden-pole-bean-seeds/,,0.5,1.0
Fava Bean,Fava Beans,vegetable,cool-season,Oct–Dec,direct_sow,,,,,single,medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/beans/organic-fava-bean-seeds/,,,
Orange Amaranth,Amaranth,vegetable,warm-season,Apr–Aug,direct_sow,,,,,single,low,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/amaranth/organic-orange-amaranth-seeds/,,,
Leisure,Cilantro/Coriander,herb,cool-season,Sep–Mar,direct_sow,,,,,single,medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/herbs/cilantro/organic-leisure-cilantro-seeds/,,1.0,1.0
Calypso,Cilantro/Coriander,herb,cool-season,Sep–Mar,direct_sow,,,,,single,medium,,,,,JS,https://www.johnnyseeds.com/herbs/cilantro-coriander/calypso-cilantro-coriander-seed-3803.html,,1.0,1.0
Flat Leaf Italian,Parsley,herb,cool-season,Sep–Feb,direct_sow,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/herbs/flat-leaf-italian-parsley-seeds/,,,
Bouquet,Dill,herb,cool-season,Sep–Feb,direct_sow,,,,,single,medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/herbs/organic-bouquet-dill-seeds/,,,
Genovese,Basil (Italian),herb,warm-season,Apr–Aug,transplant,,,,,single,medium-high,,,,organic,SDSC,https://sandiegoseedcompany.com/product/herbs/basil/organic-genovese-basil-seeds/,,1.0,1.0
Prospera Italian Large Leaf DMR F1,Basil (Italian),herb,warm-season,Apr–Aug,transplant,,,,,single,medium-high,,,,organic,JS,https://www.johnnyseeds.com/herbs/basil/italian-large-leaf-basil/prospera-italian-large-leaf-dmr-ill2-organic-f1-basil-seed-4589G.html,,1.0,1.0
Sweet Thai,Basil (Asian),herb,warm-season,Apr–Aug,transplant,,,,,single,medium-high,,,,,JS,https://www.johnnyseeds.com/herbs/basil/asian-basil/sweet-thai-basil-seed-945.html,,1.0,1.0
Thai Thai Prospera Active DMR,Basil (Asian),herb,warm-season,Apr–Aug,transplant,,,,,single,medium-high,,,,organic,JS,https://www.johnnyseeds.com/herbs/basil/asian-basil/thai-thai-prospera-active-dmr-organic-basil-seed-4968G.html,,1.0,1.0
Everleaf Thai Towers,Basil (Asian),herb,warm-season,Apr–Aug,transplant,,,,,single,medium-high,,,,,JS,https://www.johnnyseeds.com/herbs/basil/asian-basil/everleaf-thai-towers-basil-seed-4308.html,,1.0,1.0
Holy Basil Kapoor Tulsi,Holy Basil (Tulsi),herb,warm-season,Apr–Aug,transplant,,,,,single,medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/herbs/basil/organic-holy-basil-kapoor-tulsi-seeds/,,1.0,1.0
Lavender - English,Lavender,herb,perennial,,perennial,,,,,single,low,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/english-lavender-seeds/,,,
Lavender - Ellagance Purple,Lavender,herb,perennial,,perennial,,,,,single,low,,,,,JS,https://www.johnnyseeds.com/herbs/lavender/ellagance-purple-lavender-seed-72.html,,,
Marjoram,Marjoram,herb,perennial,,perennial,,,,,single,low,,,organic,,SDSC,https://sandiegoseedcompany.com/product/herbs/organic-marjoram-seeds/,,,
Mexican Tarragon,Mexican Tarragon,herb,perennial,,perennial,,,,,single,low,,,,,SDSC,https://sandiegoseedcompany.com/product/herbs/mexican-tarragon-seeds/,,,
Oregano,Oregano,herb,perennial,,perennial,,,,,single,low,,,,,SDSC,https://sandiegoseedcompany.com/product/herbs/oregano-seeds/,,,
Rosemary - Primed,Rosemary,herb,perennial,,perennial,,,,,single,low,,,,,JS,https://www.johnnyseeds.com/herbs/rosemary/primed-rosemary-herb-seed-932E.html,,,
Sage - Broad Leaf,Sage,herb,perennial,,perennial,,,,,single,low,,,,,SDSC,https://sandiegoseedcompany.com/product/herbs/broad-leaf-sage-seeds/,,,
Thyme - Summer,Thyme,herb,perennial,,perennial,,,,,single,low,,,,,JS,https://www.johnnyseeds.com/herbs/thyme/summer-thyme-seed-2250.html,,,
Lemon Balm,Lemon Balm,herb,perennial,,perennial,,,,,single,medium,,,organic,,SDSC,https://sandiegoseedcompany.com/product/herbs/organic-lemon-balm-seeds/,,,
Shiso - Bicolor,Shiso,herb,perennial,,perennial,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/herbs/bicolor-shisho-seeds/,,,
Shiso - Red,Shiso,herb,perennial,,perennial,,,,,single,medium,,,,,JS,https://www.johnnyseeds.com/herbs/shiso/red-shiso-herb-seed-937.html,,,
Chinese Leeks/Garlic Chives,Chives,herb,perennial,,perennial,,,,,single,medium,,,,,JS,https://www.johnnyseeds.com/herbs/chives/chinese-leeks-garlic-chives/chinese-leeks-garlic-chives-herb-seed-3299.html,,,
Purly Chive,Chives,herb,perennial,,perennial,,,,,single,medium,,,,,JS,https://www.johnnyseeds.com/herbs/chives/standard-chives/purly-chive-seed-793.html,,,
Lovage,Lovage,herb,perennial,,perennial,,,,,single,medium,,,organic,,JS,https://www.johnnyseeds.com/herbs/lovage/lovage-organic-herb-seed-927G.html,,,
Stevia,Stevia,herb,perennial,,perennial,,,,,single,medium,,,organic,,JS,https://www.johnnyseeds.com/herbs/stevia/stevia-organic-herb-seed-2305G.html,,,
Chamomile - Common,Chamomile,herb,perennial,,perennial,,,,,single,medium,,,,,JS,https://www.johnnyseeds.com/herbs/chamomile/common-chamomile-herb-seed-914.html,,,
Echinacea Purpurea,Echinacea,herb,perennial,,perennial,,,,,single,medium,,,organic,,JS,https://www.johnnyseeds.com/herbs/echinacea-coneflower/echinacea-purpurea-organic-echinacea-seed-956.html,,,
Angelica,Angelica,herb,perennial,,perennial,,,,,single,medium,,,,,JS,https://www.johnnyseeds.com/herbs/angelica/angelica-herb-seed-4550.html,,,
Caraway - Arterner,Caraway,herb,perennial,,perennial,,,,,single,medium,,,,,JS,https://www.johnnyseeds.com/herbs/caraway/arterner-caraway-seed-796.html,,,
Cumin,Cumin,herb,perennial,,perennial,,,,,single,medium,,,,,JS,https://www.johnnyseeds.com/herbs/herbs-for-salad-mix/cumin-herb-seed-2931.html,,,
Rue,Rue,herb,perennial,,perennial,,,,,single,medium,,,,,JS,https://www.johnnyseeds.com/herbs/rue/rue-herb-seed-974.html,,,
Mexican Mint Marigold,Mexican Mint Marigold,herb,perennial,,perennial,,,,,single,medium,,,,,JS,https://www.johnnyseeds.com/herbs/mexican-mint-marigold/mexican-mint-marigold-herb-seed-2273.html,,,
California Yellow Poppy,Poppies,flower,cool-season,Sep–Jan,direct_sow,,,,,single,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/california-yellow-poppy-seeds/,,,
Shirley Mix Poppy,Poppies,flower,cool-season,Sep–Jan,direct_sow,,,,,mixed,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/shirley-mix-poppy-seeds/,,,
California Formula Mix Poppy,Poppies (Mixed),flower,cool-season,Sep–Jan,direct_sow,,,,,mixed,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/california-formula-mix-poppy-seeds/,,,
Bachelor Button,Other Cool Season Annuals,flower,cool-season,Sep–Jan,direct_sow,,,,,single,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/bachelor-button-seeds/,,,
Larkspur - QIS Beeworthy Mix,Other Cool Season Annuals,flower,cool-season,Sep–Jan,direct_sow,,,,,mixed,low-medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/flowers/organic-qis-beeworthy-mix-larkspur/,,,
Nigella - Miss Jekyll,Other Cool Season Annuals,flower,cool-season,Sep–Jan,direct_sow,,,,,single,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/miss-jekyll-nigella-seeds/,,,
Heirloom Sweet Pea Mix,Other Cool Season Annuals,flower,cool-season,Sep–Jan,direct_sow,,,,,mixed,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/heirloom-sweet-pea-seed-mix/,,,
Calendula - Alpha,Calendula,flower,cool-season,Sep–Jan,direct_sow,,,,,single,medium,,,,organic,JS,https://www.johnnyseeds.com/herbs/calendula/alpha-organic-calendula-seed-2935.html,,,
Chocolate Cherry,Sunflowers,flower,warm-season,Mar–Jun,direct_sow,,,,,single,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/chocolate-cherry-sunflower-seeds/,,,
Russian Mammoth,Sunflowers,flower,warm-season,Mar–Jun,direct_sow,,,,,single,low-medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/flowers/organic-russian-mammoth-sunflower-seeds/,,,
