variety_name,company,url,plant_type,crop_group,season,packet_type,water_needs,sow_window,seeding_method,days_to_transplant,days_to_maturity,planting_pattern,plants_per_linear_ft,yield_per_plant,harvest_info,notes
French Breakfast,SDSC,https://sandiegoseedcompany.com/product/vegetables/radishes/french-breakfast-radish-seeds/,,Radishes,,single,medium,Sep–Mar; fast crop,,,,,,,,
Confetti Mix,SDSC,https://sandiegoseedcompany.com/product/vegetables/radishes/confetti-mix-radish-seeds/,,Radishes (Mixed),,mixed,medium,Sep–Mar,,,,,,,,
Wild Arugula,SDSC,https://sandiegoseedcompany.com/product/herbs/wild-arugula-seeds/,,Arugula,,single,medium,"Sep–Mar; quick-growing, bolts in heat",,,,,,,,
Parris Island Cos Romaine,SDSC,https://sandiegoseedcompany.com/product/vegetables/greens/parris-island-cos-romaine-lettuce-seeds/,,Lettuce (Single),,single,high,Sep–Mar; protect from heat spikes,,,,,,,,
Zone 9-10 Mix,SDSC,https://sandiegoseedcompany.com/product/vegetables/lettuce/organic-zone-9-10-lettuce-mix/,,Lettuce (Mixed),,mixed,high,Sep–Mar,,,,,,,,organic
Allstar Gourmet Mix,JS,https://www.johnnyseeds.com/vegetables/lettuce/lettuce-mixes/allstar-gourmet-lettuce-mix-vegetable-seed-2301.html,,Lettuce (Mixed),,mixed,high,Sep–Mar,,,,,,,,
Corvair,SDSC,https://sandiegoseedcompany.com/product/vegetables/spinach/organic-corvair-spinach-seeds/,,Spinach,,single,medium,Oct–Feb,,,,,,,,organic
Bright Lights,JS,https://www.johnnyseeds.com/vegetables/swiss-chard/bright-lights-swiss-chard-seed-703D.html,,Swiss Chard,,single,medium,Sep–Mar; most heat-tolerant “cool” green here,,,,,,,,
Ovation Greens Mix,JS,https://www.johnnyseeds.com/vegetables/greens/greens-mixes/ovation-greens-mix-organic-vegetable-seed-2697G.html,,Greens Mixes,,mixed,medium,Sep–Mar,,,,,,,,organic - *shopper requested*
Broadleaf Mustard Green,SDSC,https://sandiegoseedcompany.com/product/vegetables/greens/broadleaf-mustard-green-seeds/,,Mustard Greens,,single,medium,Sep–Mar,,,,,,,,
Gourmet Blend,SDSC,https://sandiegoseedcompany.com/product/vegetables/greens/gourmet-blend-chicory-seeds/,,Chicory,,mixed,medium,Sep–Feb,,,,,,,,
Golden Pascal,SDSC,https://sandiegoseedcompany.com/product/vegetables/celery/organic-golden-pascal-celery-seeds/,,Celery,,single,high,Sep–Feb,,,,,,,,organic
Tango,JS,https://www.johnnyseeds.com/vegetables/celery-and-celeriac/celery/tango-organic-celery-seed-647G.html,,Celery,,single,high,Sep–Feb,,,,,,,,organic - *shopper requested*
Finale,SDSC,https://sandiegoseedcompany.com/product/vegetables/fennel/organic-finale-fennel-seeds/,,Fennel,,single,medium,Sep–Feb,,,,,,,,organic
Red Rock Bulbing,SDSC,https://sandiegoseedcompany.com/product/vegetables/onions/red-rock-bulbing-onion-seeds/,,Onions (bulbing types vary by daylength),,single,medium,Sep–Jan,,,,,,,,
Maragogi F1,JS,https://www.johnnyseeds.com/vegetables/onions/full-size-onions/maragogi-f1-onion-seed-5230.html,,Onions (bulbing types vary by daylength),,single,medium,Sep–Jan,,,,,,,,
Bo Mango,SDSC,https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-bo-mango-tomato-seeds/,,Tomatoes,,single,high,Sep–Jan,,,,,,,,organic
Dwarf Rosella Purple,SDSC,https://sandiegoseedcompany.com/product/vegetables/tomatoes/dwarf-tomato-rosella-purple-seeds/,,Tomatoes,,single,high,Sep–Jan,,,,,,,,
Dwarf Wilpena,SDSC,https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-dwarf-wilpena-tomato-seeds/,,Tomatoes,,single,high,Sep–Jan,,,,,,,,organic
Rainbow Cherry,SDSC,https://sandiegoseedcompany.com/product/vegetables/tomatoes/rainbow-cherry-tomato-seeds/,,Tomatoes,,single,high,Sep–Jan,,,,,,,,
Jolene F1,JS,https://www.johnnyseeds.com/vegetables/tomatoes/beefsteak-tomatoes/jolene-f1-tomato-seed-4778.html,,Tomatoes,,single,high,Sep–Jan,,,,,,,,beefsteak
Verona F1,JS,https://www.johnnyseeds.com/vegetables/tomatoes/paste-tomatoes/verona-organic-f1-tomato-seed-3811G.html,,Tomatoes,,single,high,Sep–Jan,,,,,,,,"organic, paste"
Italian Pepperoncini,SDSC,https://sandiegoseedcompany.com/product/vegetables/peppers/italian-pepperoncini-pepper-seeds/,,Peppers (Sweet),,single,medium,Sep–Jan,,,,,,,,
Yolo,SDSC,https://sandiegoseedcompany.com/product/vegetables/peppers/yolo-pepper-seeds/,,Peppers (Sweet),,single,medium,Sep–Jan,,,,,,,,
Sweet Banana,SDSC,https://sandiegoseedcompany.com/product/vegetables/peppers/sweet-banana-pepper-seeds/,,Peppers (Sweet),,single,medium,Sep–Jan,,,,,,,,
Orange Wonder Sweet Bell,SDSC,https://sandiegoseedcompany.com/product/vegetables/peppers/organic-orange-wonder-sweet-bell-pepper-seeds/,,Peppers (Sweet),,single,medium,Sep–Jan,,,,,,,,organic
Jimmy Nardello Sweet,SDSC,https://sandiegoseedcompany.com/product/vegetables/peppers/organic-jimmy-nardello-sweet-pepper-seeds/,,Peppers (Sweet),,single,medium,Sep–Jan,,,,,,,,organic
Huntington F1 Bell,JS,https://www.johnnyseeds.com/vegetables/peppers/sweet-bell-peppers/huntington-f1-bell-pepper-seed-5262.html,,Peppers (Sweet),,single,medium,Sep–Jan,,,,,,,,
Jalapeno,SDSC,https://sandiegoseedcompany.com/product/vegetables/peppers/organic-jalapeno-pepper-seeds/,,Peppers (Hot),,single,medium,Sep–Jan,,,,,,,,organic
Poblano,SDSC,https://sandiegoseedcompany.com/product/vegetables/peppers/organic-poblano-pepper-seeds/,,Peppers (Hot),,single,medium,Sep–Jan,,,,,,,,organic
Flaming Flare F1 Fresno,JS,https://www.johnnyseeds.com/vegetables/peppers/hot-peppers/flaming-flare-f1-fresno-pepper-seed-3270.html,,Peppers (Hot),,single,medium,Sep–Jan,,,,,,,,
Sargento F1 Poblano,JS,https://www.johnnyseeds.com/vegetables/peppers/hot-peppers/sargento-f1-poblano-pepper-seed-4752.html,,Peppers (Hot),,single,medium,Sep–Jan,,,,,,,,
Turkish Delight F1,JS,https://www.johnnyseeds.com/vegetables/eggplant/asian-eggplants/turkish-delight-organic-f1-eggplant-seed-4755G.html,,Eggplant,,single,high,Sep–Jan,,,,,,,,"organic, Asian - *shopper requested*"
Marketmore 76,SDSC,https://sandiegoseedcompany.com/product/vegetables/cucumbers/organic-marketmore-76-cucumber-seeds/,,Cucumbers,,single,high,Sep–Jan,,,,,,,,organic
Carosello Leccese,SDSC,https://sandiegoseedcompany.com/product/vegetables/cucumbers/carosello-leccese-cucumber-seeds/,,Cucumbers,,single,high,Sep–Jan,,,,,,,,
The General F1,JS,https://www.johnnyseeds.com/vegetables/cucumbers/slicing-cucumbers/the-general-f1-cucumber-seed-2417.html,,Cucumbers,,single,high,Sep–Jan,,,,,,,,
Golden Zucchini,SDSC,https://sandiegoseedcompany.com/product/vegetables/squash/organic-golden-zucchini-summer-squash-seeds/,,Summer Squash / Zucchini,,single,high,Mar–Aug,,,,,,,,organic
Prolific Yellow Straightneck,SDSC,https://sandiegoseedcompany.com/product/vegetables/squash/organic-prolific-yellow-straightneck-summer-squash-seeds/,,Summer Squash / Zucchini,,single,high,Mar–Aug,,,,,,,,organic
Dark Star Zucchini,SDSC,https://sandiegoseedcompany.com/product/vegetables/squash/organic-dark-star-zucchini-seeds/,,Summer Squash / Zucchini,,single,high,Mar–Aug,,,,,,,,organic
Yellow Crookneck,JS,https://www.johnnyseeds.com/vegetables/squash/summer-squash/yellow-crookneck-organic-yellow-summer-squash-seed-2450.html,,Summer Squash / Zucchini,,single,high,Mar–Aug,,,,,,,,organic
Spineless Perfection F1 Zucchini,JS,https://www.johnnyseeds.com/vegetables/squash/summer-squash/spineless-perfection-f1-zucchini-squash-seed-3854.html,,Summer Squash / Zucchini,,single,high,Mar–Aug,,,,,,,,
Golden Glory F1 Zucchini,JS,https://www.johnnyseeds.com/vegetables/squash/summer-squash/golden-glory-f1-zucchini-squash-seed-3837.html,,Summer Squash / Zucchini,,single,high,Mar–Aug,,,,,,,,
Waltham Butternut,SDSC,https://sandiegoseedcompany.com/product/vegetables/squash/waltham-butternut-squash-seeds/,,Winter Squash,,single,medium,Apr–Jun; more tolerant once established,,,,,,,,
Mambo F1 Kabocha,JS,https://www.johnnyseeds.com/vegetables/squash/winter-squash/mambo-organic-f1-kabocha-squash-seed-4304G.html,,Winter Squash,,single,medium,Apr–Jun; more tolerant once established,,,,,,,,organic
Honey Bear F1 Acorn,JS,https://www.johnnyseeds.com/vegetables/squash/winter-squash/honey-bear-f1-acorn-squash-seed-689.html,,Winter Squash,,single,medium,Apr–Jun; more tolerant once established,,,,,,,,
Block Party F1 Butternut,JS,https://www.johnnyseeds.com/vegetables/squash/winter-squash/block-party-organic-f1-butternut-squash-seed-4307G.html,,Winter Squash,,single,medium,Apr–Jun; more tolerant once established,,,,,,,,organic
Early Girl Watermelon,SDSC,https://sandiegoseedcompany.com/product/fruit/melons/watermelon/early-girl-watermelon-seeds/,,Melons,,single,medium,"Apr–Jun; steady early water, ease later for sweetness",,,,,,,,
Sugar Baby Watermelon,SDSC,https://sandiegoseedcompany.com/product/fruit/melons/watermelon/organic-sugar-baby-watermelon-seeds/,,Melons,,single,medium,"Apr–Jun; steady early water, ease later for sweetness",,,,,,,,organic
Golden Delicious Cantaloupe,SDSC,https://sandiegoseedcompany.com/product/fruit/melons/golden-delicious-cantaloupe-seeds/,,Melons,,single,medium,"Apr–Jun; steady early water, ease later for sweetness",,,,,,,,
Saniara F1 Watermelon,JS,https://www.johnnyseeds.com/vegetables/watermelons/triploid-watermelons-seedless/saniara-f1-watermelon-seed-5206.html,,Melons,,single,medium,"Apr–Jun; steady early water, ease later for sweetness",,,,,,,,seedless
Mahon Yam,JS,https://www.johnnyseeds.com/vegetables/sweet-potatoes/mahon-yam-organic-sweet-potato-slips-3200G.html,,Sweet Potatoes (Slips),,single,medium,"Apr–Jun; steady early water, ease later for sweetness",,,,,,,,"organic, slips"
Calypso Bush,SDSC,https://sandiegoseedcompany.com/product/vegetables/beans/calypso-bush-bean-seeds/,,Beans (Bush),,single,medium,Apr–Aug,,,,,,,,
So Cal Flavor Trio Bush,SDSC,https://sandiegoseedcompany.com/product/vegetables/beans/so-cal-flavor-trio-bush-bean-seeds/,,Beans (Bush Mixed),,single,medium,Apr–Aug,,,,,,,,
Blue Lake Pole,SDSC,https://sandiegoseedcompany.com/product/vegetables/beans/blue-lake-pole-bean-seeds/,,Beans (Pole),,single,medium,Apr–Aug,,,,,,,,
Golden Pole,SDSC,https://sandiegoseedcompany.com/product/vegetables/beans/golden-pole-bean-seeds/,,Beans (Pole),,single,medium,Apr–Aug,,,,,,,,
Fava Bean,SDSC,https://sandiegoseedcompany.com/product/vegetables/beans/organic-fava-bean-seeds/,,Fava Beans,,single,medium,Oct–Dec; thrives in winter here,,,,,,,,organic
Orange Amaranth,SDSC,https://sandiegoseedcompany.com/product/vegetables/amaranth/organic-orange-amaranth-seeds/,,Amaranth,,single,low,Apr–Aug; very heat-tolerant,,,,,,,,organic
Leisure,SDSC,https://sandiegoseedcompany.com/product/herbs/cilantro/organic-leisure-cilantro-seeds/,,Cilantro/Coriander,,single,low,Apr–Aug; very heat-tolerant,,,,,,,,organic
Calypso,JS,https://www.johnnyseeds.com/herbs/cilantro-coriander/calypso-cilantro-coriander-seed-3803.html,,Cilantro/Coriander,,single,low,Apr–Aug; very heat-tolerant,,,,,,,,
Flat Leaf Italian,SDSC,https://sandiegoseedcompany.com/product/herbs/flat-leaf-italian-parsley-seeds/,,Parsley,,single,low,Sep–Feb,,,,,,,,
Bouquet,SDSC,https://sandiegoseedcompany.com/product/herbs/organic-bouquet-dill-seeds/,,Dill,,single,low,Sep–Feb,,,,,,,,organic
Genovese,SDSC,https://sandiegoseedcompany.com/product/herbs/basil/organic-genovese-basil-seeds/,,Basil (Italian),,single,low,Sep–Feb,,,,,,,,organic
Prospera Italian Large Leaf DMR F1,JS,https://www.johnnyseeds.com/herbs/basil/italian-large-leaf-basil/prospera-italian-large-leaf-dmr-ill2-organic-f1-basil-seed-4589G.html,,Basil (Italian),,single,low,Sep–Feb,,,,,,,,organic
Sweet Thai,JS,https://www.johnnyseeds.com/herbs/basil/asian-basil/sweet-thai-basil-seed-945.html,,Basil (Asian),,single,low,Sep–Feb,,,,,,,,
Thai Thai Prospera Active DMR,JS,https://www.johnnyseeds.com/herbs/basil/asian-basil/thai-thai-prospera-active-dmr-organic-basil-seed-4968G.html,,Basil (Asian),,single,low,Sep–Feb,,,,,,,,organic
Everleaf Thai Towers,JS,https://www.johnnyseeds.com/herbs/basil/asian-basil/everleaf-thai-towers-basil-seed-4308.html,,Basil (Asian),,single,low,Sep–Feb,,,,,,,,
Holy Basil Kapoor Tulsi,SDSC,https://sandiegoseedcompany.com/product/herbs/basil/organic-holy-basil-kapoor-tulsi-seeds/,,Holy Basil (Tulsi),,single,medium,Apr–Aug,,,,,,,,organic
California Yellow Poppy,SDSC,https://sandiegoseedcompany.com/product/flowers/california-yellow-poppy-seeds/,,Poppies,,single,medium,Apr–Aug,,,,,,,,
Shirley Mix Poppy,SDSC,https://sandiegoseedcompany.com/product/flowers/shirley-mix-poppy-seeds/,,Poppies,,mixed,medium,Apr–Aug,,,,,,,,
California Formula Mix Poppy,SDSC,https://sandiegoseedcompany.com/product/flowers/california-formula-mix-poppy-seeds/,,Poppies (Mixed),,mixed,medium,Apr–Aug,,,,,,,,
Bachelor Button,SDSC,https://sandiegoseedcompany.com/product/flowers/bachelor-button-seeds/,,Other Cool Season Annuals,,single,medium,Apr–Aug,,,,,,,,
Larkspur - QIS Beeworthy Mix,SDSC,https://sandiegoseedcompany.com/product/flowers/organic-qis-beeworthy-mix-larkspur/,,Other Cool Season Annuals,,mixed,medium,Apr–Aug,,,,,,,,organic
Nigella - Miss Jekyll,SDSC,https://sandiegoseedcompany.com/product/flowers/miss-jekyll-nigella-seeds/,,Other Cool Season Annuals,,single,medium,Apr–Aug,,,,,,,,
Heirloom Sweet Pea Mix,SDSC,https://sandiegoseedcompany.com/product/flowers/heirloom-sweet-pea-seed-mix/,,Other Cool Season Annuals,,mixed,medium,Apr–Aug,,,,,,,,
Calendula - Alpha,JS,https://www.johnnyseeds.com/herbs/calendula/alpha-organic-calendula-seed-2935.html,,Calendula,,single,medium,Apr–Aug,,,,,,,,organic
Chocolate Cherry,SDSC,https://sandiegoseedcompany.com/product/flowers/chocolate-cherry-sunflower-seeds/,,Sunflowers,,single,medium,Apr–Aug,,,,,,,,
Russian Mammoth,SDSC,https://sandiegoseedcompany.com/product/flowers/organic-russian-mammoth-sunflower-seeds/,,Sunflowers,,single,medium,Apr–Aug,,,,,,,,organic
Mexican Sunflower,SDSC,https://sandiegoseedcompany.com/product/flowers/mexican-sunflower-seeds/,,Sunflowers,,single,medium,Apr–Aug,,,,,,,,
Benary's Giant,SDSC,https://sandiegoseedcompany.com/product/flowers/benarys-giant-zinnia-seeds/,,Zinnias,,single,medium,Apr–Aug,,,,,,,,
Dahlia Mix,SDSC,https://sandiegoseedcompany.com/product/flowers/dahlia-mix-zinnia-seeds/,,Zinnias,,mixed,medium,Apr–Aug,,,,,,,,
Sensation Mix,SDSC,https://sandiegoseedcompany.com/product/flowers/sensation-mix-cosmos-seeds/,,Cosmos,,mixed,medium,Apr–Aug,,,,,,,,
Candy Stripe,SDSC,https://sandiegoseedcompany.com/product/flowers/candy-stripe-cosmos-seeds/,,Cosmos,,single,medium,Apr–Aug,,,,,,,,
Sparky,SDSC,https://sandiegoseedcompany.com/product/flowers/organic-sparky-marigold-seeds/,,Marigolds,,single,medium,Apr–Aug,,,,,,,,organic
Queen Sophia,SDSC,https://sandiegoseedcompany.com/product/flowers/organic-queen-sophia-marigold-seeds/,,Marigolds,,single,medium,Apr–Aug,,,,,,,,organic
Nasturtium - Alaska Mix,SDSC,https://sandiegoseedcompany.com/product/flowers/alaska-mix-nasturtium-seeds/,,Other Annuals,,mixed,medium,Apr–Aug,,,,,,,,
Strawflower - Apricot,SDSC,https://sandiegoseedcompany.com/product/flowers/organic-apricot-strawflower-seeds/,,Other Annuals,,single,medium,Apr–Aug,,,,,,,,organic
Gaillardia - Double Sunset,SDSC,https://sandiegoseedcompany.com/product/flowers/double-sunset-gaillardia-seeds/,,Other Annuals,,mixed,medium,Apr–Aug,,,,,,,,
Scabiosa - SoCal Mix,SDSC,https://sandiegoseedcompany.com/product/flowers/organic-socal-mix-scabiosa-seeds/,,Other Annuals,,mixed,medium,Apr–Aug,,,,,,,,organic
Morning Glory - Color Mix,SDSC,https://sandiegoseedcompany.com/product/flowers/color-mix-morning-glory-seeds/,,Vines,,mixed,medium,Apr–Aug,,,,,,,,
Western Yarrow,SDSC,https://sandiegoseedcompany.com/product/flowers/western-yarrow-seeds/,,California Natives,,single,medium,Apr–Aug,,,,,,,,
Scarlet Flax,SDSC,https://sandiegoseedcompany.com/product/flowers/scarlet-flax-seeds/,,California Natives,,single,medium,Apr–Aug,,,,,,,,
Arroyo Lupine,SDSC,https://sandiegoseedcompany.com/product/flowers/arroyo-lupine-seeds/,,California Natives,,single,medium,Apr–Aug,,,,,,,,
California Blue Bell,SDSC,https://sandiegoseedcompany.com/product/flowers/california-blue-bell-wildflower-seeds/,,California Natives,,single,medium,Apr–Aug,,,,,,,,
Narrowleaf Milkweed,SDSC,https://sandiegoseedcompany.com/product/flowers/narrowleaf-milkweed-seeds/,,California Natives,,single,medium,Apr–Aug,,,,,,,,
Hollyhock - Halo,SDSC,https://sandiegoseedcompany.com/product/flowers/halo-hollyhock-seeds/,,Other Perennials,,single,medium,Apr–Aug,,,,,,,,
Echinacea/Coneflower - Paradiso Tall Mix,JS,https://www.johnnyseeds.com/flowers/echinacea-coneflower/paradiso-tall-mix-echinacea-seed-4919.html,,Other Perennials,,mixed,medium,Apr–Aug,,,,,,,,
Wild Bergamot/Monarda,JS,https://www.johnnyseeds.com/flowers/monarda-bee-balm/wild-bergamot-monarda-seed-827.html,,Other Perennials,,single,medium,Apr–Aug,,,,,,,,
